Epoche;Wert;time;Missing;Type
0;51054338048;01:09;0;train_loss
1;50072780800;01:09;0;train_loss
2;47480336384;01:09;0;train_loss
3;43272830976;01:08;0;train_loss
4;38823489536;01:07;0;train_loss
5;34175778816;01:09;0;train_loss
6;30022574080;01:07;0;train_loss
7;25959608320;01:07;0;train_loss
0;51401265152;01:07;10;train_loss
1;49863675904;01:13;10;train_loss
2;46893875200;01:06;10;train_loss
3;42577842176;01:07;10;train_loss
4;38233526272;01:07;10;train_loss
5;33892509696;01:15;10;train_loss
6;30004942848;01:10;10;train_loss
7;25896011776;01:08;10;train_loss
0;51930730496;01:11;25;train_loss
1;50102878208;01:08;25;train_loss
2;47375654912;01:08;25;train_loss
3;43469000704;01:19;25;train_loss
4;38736326656;01:16;25;train_loss
5;33996769280;01:22;25;train_loss
6;30009063424;01:14;25;train_loss
7;25647980544;01:11;25;train_loss
0;51811659776;01:11;50;train_loss
1;49759268864;01:12;50;train_loss
2;47308922880;01:12;50;train_loss
3;43097583616;01:11;50;train_loss
4;38641852416;01:12;50;train_loss
5;33993134080;01:20;50;train_loss
6;29871196160;01:12;50;train_loss
7;25738954752;01:10;50;train_loss
0;51452420096;01:06;80;train_loss
1;49723908096;01:07;80;train_loss
2;47011778560;01:08;80;train_loss
3;42856493056;01:07;80;train_loss
4;38465015808;01:07;80;train_loss
5;34425954304;01:05;80;train_loss
6;30622392320;01:07;80;train_loss
7;26296713216;01:09;80;train_loss
0;50789838848;01:09;0;valid_loss
1;49892741120;01:09;0;valid_loss
2;46817804288;01:09;0;valid_loss
3;40173936640;01:08;0;valid_loss
4;29852487680;01:07;0;valid_loss
5;36011323392;01:09;0;valid_loss
6;28080660480;01:07;0;valid_loss
7;24219121664;01:07;0;valid_loss
0;51709743104;01:07;10;valid_loss
1;48903647232;01:13;10;valid_loss
2;45665988608;01:06;10;valid_loss
3;43923972096;01:07;10;valid_loss
4;42447560704;01:07;10;valid_loss
5;31393232896;01:15;10;valid_loss
6;29320943616;01:10;10;valid_loss
7;27002888192;01:08;10;valid_loss
0;51253067776;01:11;25;valid_loss
1;49992454144;01:08;25;valid_loss
2;50162245632;01:08;25;valid_loss
3;55101386752;01:19;25;valid_loss
4;45495140352;01:16;25;valid_loss
5;54118035456;01:22;25;valid_loss
6;61668368384;01:14;25;valid_loss
7;566819094528;01:11;25;valid_loss
0;52252987392;01:11;50;valid_loss
1;51836862464;01:12;50;valid_loss
2;52540649472;01:12;50;valid_loss
3;54574895104;01:11;50;valid_loss
4;55572979712;01:12;50;valid_loss
5;64493420544;01:20;50;valid_loss
6;90999283712;01:12;50;valid_loss
7;79059984384;01:10;50;valid_loss
0;50995642368;01:06;80;valid_loss
1;53785935872;01:07;80;valid_loss
2;89873268736;01:08;80;valid_loss
3;70280601600;01:07;80;valid_loss
4;109053984768;01:07;80;valid_loss
5;205826162688;01:05;80;valid_loss
6;199537049600;01:07;80;valid_loss
7;177479680000;01:09;80;valid_loss
0;224653;01:09;0;root_mean_squared_error
1;222645;01:09;0;root_mean_squared_error
2;215610;01:09;0;root_mean_squared_error
3;199532;01:08;0;root_mean_squared_error
4;171514;01:07;0;root_mean_squared_error
5;188763;01:09;0;root_mean_squared_error
6;165620;01:07;0;root_mean_squared_error
7;153298;01:07;0;root_mean_squared_error
0;226700;01:07;10;root_mean_squared_error
1;220401;01:13;10;root_mean_squared_error
2;212906;01:06;10;root_mean_squared_error
3;208717;01:07;10;root_mean_squared_error
4;205184;01:07;10;root_mean_squared_error
5;175992;01:15;10;root_mean_squared_error
6;169875;01:10;10;root_mean_squared_error
7;161851;01:08;10;root_mean_squared_error
0;225686;01:11;25;root_mean_squared_error
1;222868;01:08;25;root_mean_squared_error
2;223253;01:08;25;root_mean_squared_error
3;234102;01:19;25;root_mean_squared_error
4;212492;01:16;25;root_mean_squared_error
5;231958;01:22;25;root_mean_squared_error
6;246288;01:14;25;root_mean_squared_error
7;607805;01:11;25;root_mean_squared_error
0;227899;01:11;50;root_mean_squared_error
1;226986;01:12;50;root_mean_squared_error
2;228540;01:12;50;root_mean_squared_error
3;232970;01:11;50;root_mean_squared_error
4;235109;01:12;50;root_mean_squared_error
5;253441;01:20;50;root_mean_squared_error
6;301303;01:12;50;root_mean_squared_error
7;280579;01:10;50;root_mean_squared_error
0;225110;01:06;80;root_mean_squared_error
1;231249;01:07;80;root_mean_squared_error
2;299411;01:08;80;root_mean_squared_error
3;264531;01:07;80;root_mean_squared_error
4;329774;01:07;80;root_mean_squared_error
5;453457;01:05;80;root_mean_squared_error
6;446390;01:07;80;root_mean_squared_error
7;420687;01:09;80;root_mean_squared_error
